ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,18.5,30,0.5536666,0.07503001901342929,0.023726575296817615,0.36,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,19.0,30,0.5868334,0.052806699444925165,0.01669894459619128,0.516667,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,19.5,30,0.5751667,0.08872373261115403,0.028056907756300507,0.363333,0.693333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,20.0,30,0.5631665,0.08330156394456902,0.02634226747189983,0.37,0.693333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,20.5,30,0.5728334,0.05299705628973913,0.016759140715972815,0.488333,0.686667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,21.0,30,0.5566667,0.07817349176607115,0.024720628662920352,0.451667,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,21.5,30,0.5801667,0.05250172707434377,0.016602503864745467,0.535,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,22.0,30,0.5734999999999999,0.06427403619226388,0.020325234877964993,0.43,0.686667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,22.5,30,0.5589999,0.0987896644520288,0.031240034895218094,0.333333,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,23.0,30,0.5709999000000001,0.07136324468123163,0.02256703944125887,0.44,0.683333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,23.5,30,0.5781666999999999,0.05903780552803997,0.018669393352668606,0.47,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,24.0,30,0.5736666000000001,0.06989315161047216,0.022102155193655767,0.431667,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,24.5,30,0.5831666,0.07534463763150115,0.023826066439557786,0.43,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,25.0,30,0.5688333,0.06889821021228022,0.021787527097987862,0.428333,0.68,10
