ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.013095350204826677,20,0.9623333000000001,0.01577631605392504,0.004988909181708291,0.928333,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01355601785329369,20,0.9653335000000001,0.015190201521960725,0.0048035634926352115,0.936667,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01592950212572123,20,0.9620000000000001,0.01533163436964383,0.004848288486099439,0.931667,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.016681005372000592,20,0.9628333,0.014011775032688226,0.004430912316517504,0.933333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01726780903884356,20,0.9649998999999999,0.01396648545984274,0.004416590496072718,0.94,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.017467962151272456,20,0.9611667,0.014488003980688481,0.004581509132856173,0.941667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.017670435260889468,20,0.9591666,0.018958105210056052,0.005995079258488201,0.915,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.02029118018046678,20,0.9578332000000002,0.018088342199082518,0.005720036044563962,0.925,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.02052637752709252,20,0.9600000999999999,0.014120207044830774,0.004465201529482052,0.931667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.021004982416539152,20,0.9589999999999999,0.016927725816935156,0.005353016918834957,0.913333,0.971667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.021995930680300747,20,0.9586667999999999,0.012785177570574112,0.004043028141271235,0.938333,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0227697025538168,20,0.9583332999999999,0.015071737922718485,0.004766102013292524,0.931667,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.023033628731421313,20,0.9586667,0.01196191900295826,0.003782690923579852,0.935,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.02584713507469564,20,0.9568334000000001,0.011585718116140533,0.0036637257575679286,0.931667,0.971667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.02614673211801092,20,0.9551665999999999,0.012409037926715634,0.003924082341983499,0.928333,0.965,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.027380251779278577,20,0.9545,0.015596165248048792,0.004931940494819913,0.93,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.028343433061513094,20,0.952,0.014944316400112298,0.004725807789856306,0.925,0.968333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.029004304938639917,20,0.9528334,0.013677189267779659,0.0043251070075394325,0.925,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.030724688427090033,20,0.9503332999999999,0.014159698506285045,0.004477689826114476,0.923333,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.03292437333007769,20,0.9453332999999999,0.010417300429253862,0.0032942396426691957,0.92,0.956667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.033692057059802674,20,0.9444999000000001,0.01444550466369688,0.004568069668786678,0.923333,0.965,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.03694601205199302,20,0.9388332000000001,0.02035261138472844,0.0064360608308015365,0.908333,0.958333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.03780746663599349,20,0.9355,0.01847672209384914,0.0058428525510518655,0.91,0.965,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.04005000757873611,20,0.9343332999999999,0.018562595472556526,0.00587000809776082,0.9,0.956667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.04291732378422158,20,0.9349999,0.02300041599358102,0.007273370167108075,0.893333,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.04341478330055092,20,0.9316665000000001,0.02059293298547929,0.006512057193732568,0.895,0.963333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.04760775230226368,20,0.9276666,0.02464822183444473,0.0077944521269939036,0.893333,0.961667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.048159579101923505,20,0.9231667,0.023418350672780735,0.007405532717052365,0.876667,0.955,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.051607487103859075,20,0.9226667000000001,0.01764187428975605,0.005578850494999445,0.891667,0.946667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.05281079711934331,20,0.9113334,0.03015178966201215,0.009534833086227691,0.86,0.96,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.05404216420705915,20,0.9106666000000001,0.033473733577239324,0.010585323989373207,0.835,0.968333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.054668572997201806,20,0.9058333,0.03329876262983019,0.010529993317556169,0.843333,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.056591701632462424,20,0.8981666,0.017004918681892536,0.0053774274460728685,0.878333,0.923333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.05858248200152536,20,0.8955,0.02686311207254706,0.008494861918961505,0.846667,0.92,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.060643293954080614,20,0.8853331000000001,0.01789540737141485,0.0056590246950237715,0.855,0.908333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.06498495354469888,20,0.8715001000000001,0.023484461110605852,0.007426438673116197,0.835,0.896667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.06805073696735206,20,0.8608331999999999,0.027117216981918407,0.008575216946785917,0.808333,0.9,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.07044462277299036,20,0.8594999,0.03231836633470885,0.010219964787338762,0.808333,0.898333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.07208715033782136,20,0.8548334000000001,0.03367817588488627,0.01064997432359973,0.806667,0.895,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.08470868266557402,20,0.8121666000000001,0.030225989553509892,0.009558297152154713,0.77,0.86,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.09505565920101192,20,0.7968333,0.026625477681891135,0.00841971532647561,0.761667,0.833333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.1054442793526169,20,0.76,0.0666807346273603,0.021086299747571754,0.588333,0.821667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.1343161170046016,20,0.7551667,0.051372814183400804,0.01624551026321496,0.64,0.818333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.14065272421052372,20,0.7629999000000001,0.037775912373568865,0.011945792379141507,0.696667,0.818333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.1439322644719407,20,0.7525000000000001,0.06381992509832293,0.020181632341204587,0.591667,0.815,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.16151326935030905,20,0.7868334,0.029265109636638042,0.009254440242631883,0.751667,0.833333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.1691329517029648,20,0.7928333,0.025832508232199788,0.008168956368880114,0.758333,0.83,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.18761746914391206,20,0.8023332999999999,0.02281444853133404,0.0072145620919698925,0.765,0.831667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.2105345242766705,20,0.7971666999999999,0.026609430939048676,0.008414640900834693,0.755,0.845,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.22046687352394087,20,0.7964998999999999,0.02481349866705623,0.007846717250544977,0.765,0.848333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.25609931002584596,20,0.7329999,0.11824803153959434,0.03739331084965451,0.515,0.855,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.26818126094530154,20,0.7443333,0.11308576642536014,0.03576085928499357,0.491667,0.856667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.2776153294436801,20,0.7103333000000001,0.11241673143368529,0.03554929184418914,0.49,0.84,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.29071233772725785,20,0.6610000000000001,0.16100029100525806,0.05091276235265356,0.371667,0.828333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.4252346334528682,20,0.6033334,0.0676548064781801,0.021394328312896387,0.493333,0.746667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.46096044868284336,20,0.6294999,0.0638337067011709,0.02018599046668533,0.523333,0.756667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.488302208687788,20,0.6525000000000001,0.05893734275011422,0.018637624232837297,0.573333,0.74,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.5113387538414326,20,0.4846667,0.12161676561692572,0.0384585981012338,0.328333,0.616667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.5293266058360562,20,0.42633340000000003,0.10199795955388301,0.03225458688800021,0.311667,0.646667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.5737976414214134,20,0.3503334000000001,0.04279432955479552,0.01353275523330133,0.311667,0.465,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.6008675891719687,20,0.3438334,0.02775606351452279,0.008777237958619004,0.311667,0.406667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.6148777653810024,20,0.3355000999999999,0.016667437391846163,0.005270706491649024,0.311667,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.6220048825634712,20,0.6451667,0.074038896934952,0.02341315497609078,0.53,0.74,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.643885742724042,20,0.6439999000000001,0.06430647126836377,0.020335491749620647,0.553333,0.76,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.658898955079995,20,0.6260002,0.0663567689853701,0.020983852816338983,0.535,0.761667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.6820776732865685,20,0.5991668,0.071138263913468,0.022495894275672224,0.511667,0.751667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.7225349491787214,20,0.5321667999999999,0.11774641920084965,0.037234687100366794,0.325,0.693333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.7653919388230148,20,0.6263333,0.06506791115280164,0.020576280183232553,0.526667,0.735,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.8296958520834906,20,0.5436666,0.14165636973496418,0.04479567734334293,0.33,0.78,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.9203731996618221,20,0.5751668000000001,0.11223173590071969,0.03549079112007633,0.445,0.768333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.9418331534647951,20,0.5951666999999999,0.13277749321247517,0.041987930055896884,0.341667,0.775,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.9749649183484086,20,0.5538334999999999,0.1088095354279925,0.03440859630972405,0.426667,0.74,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.9862658461312821,20,0.5336665,0.10290477379192214,0.03254134672868759,0.383333,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.9976977642363202,20,0.5953333000000001,0.14675890332033997,0.04640924014007221,0.33,0.751667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,1.0568759711848041,20,0.6338332,0.09793568448936271,0.030969982719401053,0.448333,0.753333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,1.0691263391734764,20,0.6286667,0.07570996379172588,0.023941592715073165,0.53,0.776667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,1.1067360180959738,20,0.5853333,0.11065675836974437,0.034992739493929295,0.34,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,1.1325413151528119,20,0.5248334,0.1030413648214476,0.03258454060481236,0.346667,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,1.172381803286599,20,0.4981666999999999,0.13812331943033934,0.04367842873828631,0.311667,0.67,10
