run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
509,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,3,30,0.956667
381,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.956667
419,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.956667
439,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.956667
376,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.956667
499,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,3,30,0.956667
366,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.956667
351,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.956667
393,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.956667
391,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.956667
589,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,3,30,0.956667
423,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,3,30,0.956667
422,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,3,30,0.956667
505,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,3,30,0.955
599,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,3,30,0.955
363,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.955
459,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,3,30,0.955
353,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.953333
449,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,3,30,0.953333
569,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.953333
326,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.953333
344,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.953333
383,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.953333
445,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,3,30,0.951667
485,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,3,30,0.951667
348,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.951667
403,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.951667
362,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.951667
529,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,3,30,0.951667
465,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,3,30,0.951667
336,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.95
559,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,3,30,0.95
382,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.95
539,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,3,30,0.95
337,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.95
415,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,3,30,0.95
549,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,3,30,0.95
341,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.948333
343,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.948333
515,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,3,30,0.948333
373,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.948333
356,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.948333
346,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.948333
333,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.948333
475,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,3,30,0.946667
399,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.946667
575,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,3,30,0.946667
365,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.946667
519,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,3,30,0.945
372,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.945
535,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,3,30,0.945
545,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,3,30,0.945
525,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,3,30,0.945
331,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.945
495,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,3,30,0.945
455,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,3,30,0.945
435,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,3,30,0.943333
375,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.943333
585,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,3,30,0.943333
555,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,3,30,0.943333
595,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,3,30,0.941667
330,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.941667
369,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.941667
355,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.941667
425,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,3,30,0.94
321,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.94
385,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.938333
328,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.938333
379,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.938333
405,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.936667
565,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,3,30,0.935
389,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.933333
323,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.933333
327,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.931667
