ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,60.0,0.6376666999999999,0.05642218983904596,0.017842263046579435,0.553333,0.721667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,61.0,0.6431666,0.058163464626669006,0.018392902482690914,0.563333,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,62.0,0.6338334,0.051231922919645,0.016200956533626173,0.563333,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,63.0,0.6351667000000001,0.05692444949824086,0.018001091496567017,0.556667,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,64.0,0.6371667,0.049988161191870634,0.015807644540994845,0.563333,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,65.0,0.633,0.05231567760772626,0.016543669857548387,0.563333,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,66.0,0.6378334000000001,0.05457494744782932,0.017258113711913395,0.556667,0.715,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,67.0,0.6355,0.051328150292451,0.016231386300758283,0.561667,0.715,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,68.0,0.6403334,0.05345928830677287,0.016905311314100852,0.561667,0.7,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,69.0,0.6446664999999999,0.05666011726906719,0.017917502306249177,0.563333,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,70.0,0.6398333,0.05800964894270221,0.018344261692571744,0.558333,0.711667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,71.0,0.6378334,0.06014906647322136,0.019020804918825074,0.555,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,72.0,0.6385,0.05722173570515939,0.018095101649648483,0.551667,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,73.0,0.6401667,0.059976691872852726,0.018966295284032455,0.553333,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,74.0,0.6463330999999999,0.06312737427429296,0.019962628541268467,0.555,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,75.0,0.6445000000000001,0.06139857138403142,0.019415933065397607,0.55,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,76.0,0.6395,0.05791679216677047,0.018314897801759322,0.56,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,77.0,0.6420002,0.057099586818509,0.018056474780101587,0.556667,0.711667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,78.0,0.6459999999999999,0.062113832181102974,0.01964211838937497,0.556667,0.72,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,79.0,0.6259257777777778,0.05429540698065028,0.018098468993550092,0.558333,0.713333,9
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,80.0,0.6411665999999999,0.057633558683191546,0.018225331509985992,0.556667,0.718333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,81.0,0.646,0.057922832872710925,0.018316808040704038,0.566667,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,82.0,0.6425000000000001,0.059427554194628925,0.01879264270281207,0.565,0.72,10
