run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,test accuracy
16,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.553333
116,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.55
250,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.0,0.548333
126,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.546667
27,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.546667
180,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.5,0.543333
146,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.543333
93,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.541667
5,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.541667
170,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.54
94,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.535
220,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.5,0.533333
25,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.531667
270,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,14.0,0.531667
82,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.531667
114,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.531667
210,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.0,0.53
251,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.0,0.53
103,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.528333
92,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.526667
136,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.523333
15,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.521667
161,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.52
97,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.52
179,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.518333
166,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.518333
176,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.516667
156,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.0,0.516667
102,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.508333
181,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.5,0.506667
290,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,15.0,0.506667
190,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.0,0.506667
260,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.5,0.506667
112,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.505
107,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.501667
186,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.5,0.501667
118,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.498333
171,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.498333
129,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.498333
113,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.496667
122,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.491667
149,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.49
159,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.0,0.488333
341,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,17.5,0.488333
280,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,14.5,0.485
177,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.483333
196,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.0,0.483333
189,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.5,0.48
169,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.48
104,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.473333
137,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.47
132,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.466667
199,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.0,0.461667
231,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,12.0,0.461667
135,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.46
229,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.5,0.46
167,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.46
143,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.46
123,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.456667
