run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
504,0.794949494949495,0.29393939393939394,1.4498976328292665,0.0002720261243891762,0.00018761746914391214,0.0005440522487783524,2.0,0.811667
3292,0.7787878787878788,0.44747474747474747,2.2271665047690083,0.00010337591179132237,4.641588833612782e-05,0.00020675182358264474,2.0,0.811667
3607,0.8353535353535353,0.3747474747474747,0.6621047592560203,2.7513467539931892e-05,4.15545533471888e-05,5.5026935079863785e-05,2.0,0.81
2674,0.803030303030303,0.1808080808080808,1.7914066324244036,6.0217220333512153e-05,3.361449000108762e-05,0.00012043444066702431,2.0,0.81
592,0.8191919191919191,0.41515151515151516,0.7002316790622269,1.2632753181129929e-05,1.804081928719381e-05,2.5265506362259858e-05,2.0,0.81
2635,0.8191919191919191,0.44747474747474747,2.2975292272984507,9.503370508286729e-05,4.1363436840632776e-05,0.00019006741016573458,2.0,0.81
3167,0.8595959595959596,0.7303030303030302,1.2181212903838883,4.969367833511092e-05,4.079534503452449e-05,9.938735667022184e-05,2.0,0.81
3289,0.8595959595959596,0.2292929292929293,0.9149842886463672,0.0001467637641896947,0.000160400310705682,0.0002935275283793894,2.0,0.81
2017,0.6737373737373737,0.49595959595959593,1.6216884776040033,6.173735391923454e-05,3.806979871402284e-05,0.0001234747078384691,2.0,0.81
2877,0.8515151515151514,0.16464646464646465,1.1662155614432503,7.405964653397488e-05,6.350425168595962e-05,0.00014811929306794976,2.0,0.81
2487,0.8919191919191919,0.6898989898989899,2.5379776404728154,2.8088712678335006e-05,1.1067360180959745e-05,5.617742535667001e-05,2.0,0.81
837,0.8919191919191919,0.4878787878787879,0.4761437749689426,2.1597066595913676e-05,4.535828825510191e-05,4.319413319182735e-05,2.0,0.81
3021,0.7787878787878788,0.7303030303030302,3.595683072146814,0.00019702445926089127,5.4794723369002926e-05,0.00039404891852178254,2.0,0.808333
3374,0.8111111111111111,0.6898989898989899,0.5882947162293893,3.7359215724951336e-05,6.350425168595962e-05,7.471843144990267e-05,2.0,0.808333
2497,0.794949494949495,0.7464646464646464,1.1375543236128338,1.27650404545748e-05,1.1221477682079803e-05,2.55300809091496e-05,2.0,0.808333
1527,0.706060606060606,0.6898989898989899,2.491051903741392,3.0231998732912828e-05,1.2136237983442418e-05,6.0463997465825655e-05,2.0,0.808333
689,0.7868686868686868,0.5686868686868687,4.58296563644753,0.0002499673796418845,5.454271305329836e-05,0.000499934759283769,2.0,0.808333
711,0.8353535353535353,0.32626262626262625,1.6729223732891754,0.00010672854630485132,6.379766808606283e-05,0.00021345709260970263,2.0,0.808333
772,0.8757575757575757,0.592929292929293,0.29676389561730177,2.362174431452001e-05,7.959777002314978e-05,4.724348862904002e-05,2.0,0.808333
2019,0.8111111111111111,0.44747474747474747,2.38490494948209,0.0003346711083860021,0.0001403289084785873,0.0006693422167720042,2.0,0.808333
1912,0.9,0.6494949494949495,1.5917043968355646,0.0002518034146305926,0.00015819734815786013,0.0005036068292611852,2.0,0.808333
978,0.7383838383838384,0.5444444444444444,3.2147804259006234,0.00012015003119895899,3.7374257423910643e-05,0.00024030006239791798,2.0,0.808333
838,0.7545454545454545,0.7868686868686868,3.2147804259006234,0.00010707148791182217,3.3306003436245885e-05,0.00021414297582364434,2.0,0.808333
757,0.8595959595959596,0.47171717171717176,0.4178332583211976,1.4306636411403809e-05,3.4240061379714256e-05,2.8613272822807618e-05,2.0,0.808333
1801,0.6979797979797979,0.2535353535353535,0.6221713273766898,4.474730145380801e-05,7.192118872221193e-05,8.949460290761602e-05,2.0,0.806667
4321,0.8757575757575757,0.2696969696969697,3.50731456541375,0.0005372295638775916,0.00015317404637020797,0.0010744591277551832,2.0,0.806667
1204,0.8838383838383839,0.2292929292929293,0.36666368634284097,0.000247797962009072,0.0006758181168161112,0.000495595924018144,2.0,0.806667
5124,0.8838383838383839,0.5848484848484848,0.7359615546190285,3.353619504275031e-05,4.5567862658410694e-05,6.707239008550061e-05,2.0,0.806667
70,0.6979797979797979,0.7868686868686868,2.4147624742852565,3.2136497525704146e-05,1.330834724654076e-05,6.427299505140829e-05,2.0,0.806667
5508,0.9,0.8676767676767676,0.4152420571669133,1.936288216867547e-05,4.6630349297427366e-05,3.872576433735094e-05,2.0,0.806667
2257,0.8838383838383839,0.13232323232323234,2.2410645103258515,0.0005443017661475599,0.00024287643824604505,0.0010886035322951197,2.0,0.806667
1288,0.706060606060606,0.5202020202020202,1.3125340960038923,2.357028578270566e-05,1.795784647002097e-05,4.714057156541132e-05,2.0,0.806667
